Estación,Longitud,Latitud
246,-99.179835,19.434147
247,-99.180565,19.432102
248,-99.177399,19.43175
249,-99.177569,19.429877
250,-99.17966,19.429057
251,-99.17538,19.429261
252,-99.17702,19.427575
253,-99.177924,19.425835
254,-99.16007,19.43935
255,-99.161808,19.437159
256,-99.15816,19.4372
257,-99.16622,19.4338
258,-99.1791,19.4167
259,-99.15468,19.43757
260,-99.147742,19.435354
261,-99.175196,19.423704
262,-99.13395,19.43693
263,-99.158425,19.436274
264,-99.152935,19.440985
265,-99.152265,19.440839
266,-99.152187,19.444031
267,-99.152203,19.443735
268,-99.151586,19.442448
269,-99.151658,19.442467
270,-99.15387,19.43676
271,-99.152465,19.442689
272,-99.152491,19.443467
273,-99.152956,19.442707
274,-99.153289,19.442772
275,-99.153164,19.441062
276,-99.156366,19.401986
277,-99.15909,19.401807
278,-99.163831,19.40071
279,-99.166553,19.399908
280,-99.156406,19.4015
281,-99.157308,19.398532
282,-99.161273,19.398692
283,-99.167383,19.39827
284,-99.172981,19.397693
285,-99.177524,19.399688
286,-99.179943,19.399201
287,-99.183254,19.398946
288,-99.183575,19.396333
289,-99.174548,19.397308
290,-99.172667,19.396333
291,-99.169946,19.397651
292,-99.166264,19.396917
293,-99.164598,19.397373
294,-99.160924,19.396513
295,-99.156871,19.396328
296,-99.158756,19.394283
297,-99.158907,19.394412
298,-99.16214,19.394073
299,-99.165054,19.394601
300,-99.168333,19.393268
301,-99.171133,19.393807
302,-99.171466,19.393832
303,-99.173025,19.394842
304,-99.173821,19.395043
305,-99.175531,19.394693
306,-99.175664,19.393699
307,-99.175834,19.393701
308,-99.178072,19.393594
309,-99.17956,19.393162
310,-99.181733,19.395319
311,-99.185391,19.393665
312,-99.183737,19.392634
313,-99.178989,19.391431
314,-99.177331,19.391647
315,-99.1736,19.391472
316,-99.1712,19.391056
317,-99.166157,19.391456
318,-99.164127,19.392249
319,-99.162684,19.391991
320,-99.15936,19.391323
321,-99.157513,19.389477
322,-99.160616,19.388528
323,-99.163403,19.389026
324,-99.1656554,19.3872468
325,-99.1696894,19.3881779
326,-99.174811,19.388978
327,-99.17772,19.38885
328,-99.184742,19.392586
329,-99.184812,19.390306
330,-99.182606,19.389358
331,-99.183971,19.388547
332,-99.183809,19.385508
333,-99.180978,19.387624
334,-99.175089,19.386568
335,-99.173504,19.387003
336,-99.169673,19.385531
337,-99.16704,19.384849
338,-99.163273,19.384249
339,-99.160548,19.386032
340,-99.158188,19.385571
341,-99.158204,19.382851
342,-99.159455,19.381076
343,-99.160826,19.384099
344,-99.162243,19.382107
345,-99.172223,19.384498
346,-99.174077,19.385019
347,-99.176097,19.384378
348,-99.178216,19.385365
349,-99.180857,19.385688
350,-99.181482,19.384062
351,-99.186297,19.385751
352,-99.185447,19.384114
353,-99.178808,19.382168
354,-99.176685,19.381665
355,-99.173291,19.38205
356,-99.170171,19.381292
357,-99.1669248,19.380598
358,-99.164222,19.380168
359,-99.161169,19.379269
360,-99.1628259,19.3790279
361,-99.1762233,19.3804457
362,-99.181043,19.382207
363,-99.183851,19.380813
364,-99.185858,19.383063
365,-99.186687,19.381117
366,-99.181973,19.378345
367,-99.181632,19.37946
368,-99.179344,19.379246
369,-99.177478,19.379884
370,-99.177054,19.378818
371,-99.174328,19.378542
372,-99.170289,19.37797
373,-99.166663,19.377968
374,-99.161116,19.376964
375,-99.158818,19.376865
376,-99.161595,19.375442
377,-99.16375,19.375394
378,-99.168076,19.375823
379,-99.17084,19.375751
380,-99.173512,19.374876
381,-99.177894,19.375541
382,-99.178084,19.375591
383,-99.181527,19.375764
384,-99.185583,19.375873
385,-99.18558,19.375651
386,-99.185846,19.37484
387,-99.18050556,19.37455556
388,-99.181355,19.373038
389,-99.179356,19.373528
390,-99.17826,19.373228
391,-99.178283,19.373142
392,-99.1747749,19.3730067
393,-99.172558,19.372796
394,-99.171592,19.372437
395,-99.169814,19.373742
396,-99.170187,19.371554
397,-99.167247,19.373194
398,-99.16566,19.37103
399,-99.164519,19.372407
400,-99.1642743,19.3726458
401,-99.16158,19.372147
402,-99.1587223,19.3709452
403,-99.158639,19.371371
404,-99.157387,19.373813
405,-99.156626,19.370619
406,-99.163261,19.367831
407,-99.158694,19.367294
408,-99.156843,19.36677
409,-99.155499,19.365102
410,-99.158063,19.36564
