Estación,Longitud,Latitud,Cluster
213,-99.206967,19.435197,14
214,-99.20322,19.434353,14
215,-99.19968,19.43384,14
216,-99.195746,19.433419,14
217,-99.183605,19.432888,11
218,-99.188033,19.432451,11
219,-99.207808,19.433542,14
220,-99.205727,19.432655,14
221,-99.201565,19.431799,14
222,-99.195774,19.431417,14
223,-99.191613,19.431242,11
224,-99.188065,19.431255,11
225,-99.185612,19.431172,11
226,-99.18222,19.431033,11
227,-99.207373,19.431791,14
228,-99.19912,19.427705,14
229,-99.203331,19.430515,14
230,-99.200074,19.430098,14
231,-99.19349,19.42977,11
232,-99.185389,19.42894,11
233,-99.196965,19.429314,14
234,-99.191539,19.42783,11
235,-99.20218,19.42933,14
236,-99.20243,19.42944,14
237,-99.193986,19.426744,11
238,-99.193752,19.426765,11
239,-99.181355,19.430153,11
240,-99.2063,19.43855,14
241,-99.20758,19.43862,14
242,-99.20105,19.440344,14
243,-99.196712,19.440839,14
244,-99.193315,19.440885,11
245,-99.190368,19.438165,11
246,-99.179835,19.434147,11
247,-99.180565,19.432102,11
248,-99.177399,19.43175,4
249,-99.177569,19.429877,4
250,-99.17966,19.429057,4
251,-99.17538,19.429261,4
252,-99.17702,19.427575,4
253,-99.177924,19.425835,4
254,-99.16007,19.43935,15
255,-99.161808,19.437159,15
256,-99.15816,19.4372,13
257,-99.16622,19.4338,15
258,-99.1791,19.4167,4
259,-99.15468,19.43757,13
260,-99.147742,19.435354,10
261,-99.175196,19.423704,4
262,-99.13395,19.43693,1
263,-99.158425,19.436274,13
264,-99.152935,19.440985,13
265,-99.152265,19.440839,13
266,-99.152187,19.444031,13
267,-99.152203,19.443735,13
268,-99.151586,19.442448,13
269,-99.151658,19.442467,13
270,-99.15387,19.43676,13
271,-99.152465,19.442689,13
272,-99.152491,19.443467,13
273,-99.152956,19.442707,13
274,-99.153289,19.442772,13
275,-99.153164,19.441062,13
276,-99.156366,19.401986,7
277,-99.15909,19.401807,7
278,-99.163831,19.40071,7
279,-99.166553,19.399908,9
280,-99.156406,19.4015,7
281,-99.157308,19.398532,7
282,-99.161273,19.398692,5
283,-99.167383,19.39827,9
284,-99.172981,19.397693,3
285,-99.177524,19.399688,6
286,-99.179943,19.399201,6
287,-99.183254,19.398946,6
288,-99.183575,19.396333,6
289,-99.174548,19.397308,3
290,-99.172667,19.396333,3
291,-99.169946,19.397651,9
292,-99.166264,19.396917,5
293,-99.164598,19.397373,5
294,-99.160924,19.396513,5
295,-99.156871,19.396328,5
296,-99.158756,19.394283,5
297,-99.158907,19.394412,5
298,-99.16214,19.394073,5
299,-99.165054,19.394601,5
300,-99.168333,19.393268,5
301,-99.171133,19.393807,3
302,-99.171466,19.393832,3
303,-99.173025,19.394842,3
304,-99.173821,19.395043,3
305,-99.175531,19.394693,3
306,-99.175664,19.393699,3
307,-99.175834,19.393701,3
308,-99.178072,19.393594,3
309,-99.17956,19.393162,3
310,-99.181733,19.395319,6
311,-99.185391,19.393665,6
312,-99.183737,19.392634,6
313,-99.178989,19.391431,3
314,-99.177331,19.391647,3
315,-99.1736,19.391472,3
316,-99.1712,19.391056,3
317,-99.166157,19.391456,5
318,-99.164127,19.392249,5
319,-99.162684,19.391991,5
320,-99.15936,19.391323,5
321,-99.157513,19.389477,5
322,-99.160616,19.388528,5
323,-99.163403,19.389026,5
324,-99.1656554,19.3872468,5
325,-99.1696894,19.3881779,3
326,-99.174811,19.388978,3
327,-99.17772,19.38885,3
328,-99.184742,19.392586,6
329,-99.184812,19.390306,6
330,-99.182606,19.389358,3
331,-99.183971,19.388547,3
332,-99.183809,19.385508,8
333,-99.180978,19.387624,3
334,-99.175089,19.386568,3
335,-99.173504,19.387003,3
336,-99.169673,19.385531,3
337,-99.16704,19.384849,5
