Estación,Longitud,Latitud,Cluster
213,-99.206967,19.435197,10
214,-99.20322,19.434353,10
215,-99.19968,19.43384,10
216,-99.195746,19.433419,10
217,-99.183605,19.432888,2
218,-99.188033,19.432451,2
219,-99.207808,19.433542,10
220,-99.205727,19.432655,10
221,-99.201565,19.431799,10
222,-99.195774,19.431417,10
223,-99.191613,19.431242,2
224,-99.188065,19.431255,2
225,-99.185612,19.431172,2
226,-99.18222,19.431033,2
227,-99.207373,19.431791,10
228,-99.19912,19.427705,10
229,-99.203331,19.430515,10
230,-99.200074,19.430098,10
231,-99.19349,19.42977,2
232,-99.185389,19.42894,2
233,-99.196965,19.429314,10
234,-99.191539,19.42783,2
235,-99.20218,19.42933,10
236,-99.20243,19.42944,10
237,-99.193986,19.426744,2
238,-99.193752,19.426765,2
239,-99.181355,19.430153,2
240,-99.2063,19.43855,10
241,-99.20758,19.43862,10
242,-99.20105,19.440344,10
243,-99.196712,19.440839,10
244,-99.193315,19.440885,2
245,-99.190368,19.438165,2
246,-99.179835,19.434147,2
247,-99.180565,19.432102,2
248,-99.177399,19.43175,3
249,-99.177569,19.429877,3
250,-99.17966,19.429057,2
251,-99.17538,19.429261,3
252,-99.17702,19.427575,3
253,-99.177924,19.425835,3
254,-99.16007,19.43935,5
255,-99.161808,19.437159,5
256,-99.15816,19.4372,5
257,-99.16622,19.4338,3
258,-99.1791,19.4167,11
259,-99.15468,19.43757,5
260,-99.147742,19.435354,5
261,-99.175196,19.423704,3
262,-99.13395,19.43693,7
263,-99.158425,19.436274,5
264,-99.152935,19.440985,5
265,-99.152265,19.440839,5
266,-99.152187,19.444031,5
267,-99.152203,19.443735,5
268,-99.151586,19.442448,5
269,-99.151658,19.442467,5
270,-99.15387,19.43676,5
271,-99.152465,19.442689,5
272,-99.152491,19.443467,5
273,-99.152956,19.442707,5
274,-99.153289,19.442772,5
275,-99.153164,19.441062,5
276,-99.156366,19.401986,6
277,-99.15909,19.401807,6
278,-99.163831,19.40071,1
279,-99.166553,19.399908,1
280,-99.156406,19.4015,6
281,-99.157308,19.398532,1
282,-99.161273,19.398692,1
283,-99.167383,19.39827,1
284,-99.172981,19.397693,9
285,-99.177524,19.399688,11
286,-99.179943,19.399201,9
287,-99.183254,19.398946,9
288,-99.183575,19.396333,9
289,-99.174548,19.397308,9
290,-99.172667,19.396333,9
291,-99.169946,19.397651,1
292,-99.166264,19.396917,1
293,-99.164598,19.397373,1
294,-99.160924,19.396513,1
295,-99.156871,19.396328,1
296,-99.158756,19.394283,1
297,-99.158907,19.394412,1
298,-99.16214,19.394073,1
299,-99.165054,19.394601,1
300,-99.168333,19.393268,1
301,-99.171133,19.393807,9
302,-99.171466,19.393832,9
303,-99.173025,19.394842,9
304,-99.173821,19.395043,9
305,-99.175531,19.394693,9
306,-99.175664,19.393699,9
307,-99.175834,19.393701,9
308,-99.178072,19.393594,9
309,-99.17956,19.393162,9
310,-99.181733,19.395319,9
311,-99.185391,19.393665,9
312,-99.183737,19.392634,9
313,-99.178989,19.391431,9
314,-99.177331,19.391647,9
315,-99.1736,19.391472,9
316,-99.1712,19.391056,9
317,-99.166157,19.391456,1
318,-99.164127,19.392249,1
319,-99.162684,19.391991,1
320,-99.15936,19.391323,1
321,-99.157513,19.389477,1
322,-99.160616,19.388528,1
323,-99.163403,19.389026,1
324,-99.1656554,19.3872468,1
325,-99.1696894,19.3881779,1
326,-99.174811,19.388978,9
327,-99.17772,19.38885,9
328,-99.184742,19.392586,9
329,-99.184812,19.390306,9
330,-99.182606,19.389358,9
331,-99.183971,19.388547,9
332,-99.183809,19.385508,9
333,-99.180978,19.387624,9
334,-99.175089,19.386568,9
335,-99.173504,19.387003,9
336,-99.169673,19.385531,1
337,-99.16704,19.384849,1
338,-99.163273,19.384249,1
339,-99.160548,19.386032,1
340,-99.158188,19.385571,1
341,-99.158204,19.382851,1
342,-99.159455,19.381076,1
343,-99.160826,19.384099,1
344,-99.162243,19.382107,1
345,-99.172223,19.384498,9
346,-99.174077,19.385019,9
