Estación,Longitud,Latitud,Cluster
213,-99.206967,19.435197,1
214,-99.20322,19.434353,2
215,-99.19968,19.43384,2
216,-99.195746,19.433419,2
217,-99.183605,19.432888,1
218,-99.188033,19.432451,2
219,-99.207808,19.433542,1
220,-99.205727,19.432655,2
221,-99.201565,19.431799,1
222,-99.195774,19.431417,1
223,-99.191613,19.431242,1
224,-99.188065,19.431255,2
225,-99.185612,19.431172,1
226,-99.18222,19.431033,1
227,-99.207373,19.431791,1
228,-99.19912,19.427705,2
229,-99.203331,19.430515,2
230,-99.200074,19.430098,1
231,-99.19349,19.42977,1
232,-99.185389,19.42894,1
233,-99.196965,19.429314,1
234,-99.191539,19.42783,2
235,-99.20218,19.42933,1
236,-99.20243,19.42944,1
237,-99.193986,19.426744,1
238,-99.193752,19.426765,1
239,-99.181355,19.430153,1
240,-99.2063,19.43855,2
241,-99.20758,19.43862,1
242,-99.20105,19.440344,1
243,-99.196712,19.440839,2
244,-99.193315,19.440885,2
245,-99.190368,19.438165,2
246,-99.179835,19.434147,1
247,-99.180565,19.432102,1
248,-99.177399,19.43175,1
249,-99.177569,19.429877,2
250,-99.17966,19.429057,1
251,-99.17538,19.429261,2
252,-99.17702,19.427575,1
253,-99.177924,19.425835,1
254,-99.16007,19.43935,1
255,-99.161808,19.437159,1
256,-99.15816,19.4372,1
257,-99.16622,19.4338,1
258,-99.1791,19.4167,1
259,-99.15468,19.43757,1
260,-99.147742,19.435354,1
261,-99.175196,19.423704,1
262,-99.13395,19.43693,2
263,-99.158425,19.436274,2
264,-99.152935,19.440985,2
265,-99.152265,19.440839,1
266,-99.152187,19.444031,1
267,-99.152203,19.443735,1
268,-99.151586,19.442448,2
269,-99.151658,19.442467,2
270,-99.15387,19.43676,1
271,-99.152465,19.442689,1
272,-99.152491,19.443467,1
273,-99.152956,19.442707,1
274,-99.153289,19.442772,1
275,-99.153164,19.441062,2
276,-99.156366,19.401986,1
277,-99.15909,19.401807,2
278,-99.163831,19.40071,2
279,-99.166553,19.399908,2
